codigo,clase,stock_inicial,stock_promedio,consumo_promedio,consumo_minimo,consumo_maximo,reposicion_promedio,frecuencia_movimiento,stock_actual,probabilidad_agotamiento,nivel_riesgo
786605,Media,36,24.3,10.0,2.0,18.0,10.75,0.0833,4,0.9997,ALTO
786863,Media,32,28.77,4.0,2.0,8.0,6.67,0.0833,1,0.9996,ALTO
611247,Alta,65,108.18,3.21,1.0,17.0,17.86,0.5556,15,0.9993,ALTO
623496,Media,16,17.88,1.0,1.0,1.0,1.5,0.1528,2,0.999,ALTO
784500,Alta,6,3.64,2.33,1.0,6.0,3.38,0.2361,1,0.999,ALTO
611175,Alta,218,293.27,5.44,1.0,32.0,31.64,0.6528,55,0.999,ALTO
168297,Media,31,32.34,1.25,1.0,2.0,16.5,0.1389,1,0.9989,ALTO
788466,Media,7,9.29,1.0,1.0,1.0,1.0,0.1111,1,0.9981,ALTO
623493,Alta,19,21.86,2.38,1.0,7.0,1.44,0.2361,6,0.9978,ALTO
784746,Alta,65,46.36,5.25,1.0,57.0,13.78,0.3472,30,0.9977,ALTO
188413,Alta,247,258.77,3.64,1.0,8.0,28.29,0.2917,2,0.9973,ALTO
206231,Alta,431,506.88,6.02,1.0,70.0,436.0,0.75,209,0.9968,ALTO
786170,Alta,40,28.93,4.25,1.0,23.0,7.0,0.2222,23,0.9957,ALTO
784735,Alta,16,13.12,2.88,1.0,9.0,3.33,0.2361,5,0.9954,ALTO
779555,Alta,438,523.74,6.57,1.0,50.0,60.6,0.7222,267,0.9951,ALTO
623349,Alta,25,31.32,1.21,1.0,2.0,1.0,0.2778,3,0.9944,ALTO
784596,Media,54,41.71,13.0,1.0,25.0,26.0,0.0556,8,0.9944,ALTO
351747,Alta,2177,2115.34,7.57,1.0,214.0,370.33,0.6528,1526,0.9935,ALTO
779995,Media,28,29.16,2.0,1.0,6.0,14.5,0.1111,2,0.9922,ALTO
621364,Alta,40,49.85,1.75,1.0,6.0,6.7,0.4722,12,0.9915,ALTO
784914,Media,17,15.16,2.25,1.0,3.0,2.5,0.1111,3,0.9907,ALTO
621210,Media,12,13.38,1.67,1.0,3.0,1.67,0.125,2,0.9906,ALTO
621416,Media,12,15.62,1.78,1.0,6.0,1.6,0.1944,13,0.99,ALTO
778089,Alta,38,44.74,1.88,1.0,6.0,7.5,0.3333,6,0.9871,ALTO
787800,Alta,17,27.71,1.52,1.0,4.0,5.67,0.4722,20,0.9865,ALTO
611671,Alta,14,21.27,1.79,1.0,3.0,3.33,0.2778,2,0.9839,ALTO
8010,Alta,19,22.56,1.36,1.0,3.0,5.0,0.2222,2,0.9814,ALTO
621657,Alta,22,25.75,1.91,1.0,3.0,4.14,0.25,1,0.9804,ALTO
611768,Alta,39,55.75,2.07,1.0,6.0,6.91,0.5556,32,0.9776,ALTO
611359,Media,12,15.89,1.14,1.0,2.0,1.0,0.125,2,0.9761,ALTO
779444,Alta,99,125.55,3.15,1.0,17.0,19.11,0.5,108,0.9731,ALTO
787814,Alta,15,18.12,2.11,1.0,5.0,2.18,0.2778,18,0.9727,ALTO
168078,Alta,105,112.15,1.54,1.0,4.0,1.17,0.2639,9,0.9703,ALTO
611897,Media,7,10.19,2.0,1.0,3.0,2.0,0.1389,5,0.9665,ALTO
784825,Media,52,39.26,10.33,1.0,29.0,29.0,0.0694,19,0.958,ALTO
786219,Media,32,25.47,2.67,1.0,11.0,6.0,0.1528,7,0.9551,ALTO
611390,Alta,27,31.08,1.36,1.0,4.0,1.0,0.2083,14,0.9524,ALTO
611392,Alta,31,38.66,1.2,1.0,3.0,1.0,0.25,10,0.9493,ALTO
623209,Media,8,10.93,1.14,1.0,2.0,1.0,0.1111,3,0.9488,ALTO
791274,Alta,39,39.92,1.27,1.0,2.0,10.5,0.2083,11,0.9359,ALTO
166884,Media,11,12.66,1.0,1.0,1.0,1.0,0.0556,3,0.9214,ALTO
7354,Media,29,28.67,2.0,1.0,3.0,8.0,0.0556,4,0.9191,ALTO
779470,Alta,101,113.75,2.5,1.0,11.0,15.57,0.375,34,0.9179,ALTO
623197,Media,15,18.16,1.44,1.0,3.0,3.0,0.1944,9,0.9026,ALTO
616541,Alta,21,34.36,1.89,1.0,5.0,7.67,0.3333,13,0.9013,ALTO
784743,Media,27,24.93,2.5,1.0,4.0,3.67,0.0694,3,0.8746,ALTO
791129,Alta,66,65.51,1.67,1.0,5.0,10.75,0.2778,17,0.8369,ALTO
168880,Media,37,35.04,2.33,1.0,4.0,14.0,0.0833,9,0.8198,ALTO
168909,Baja,20,19.96,3.0,3.0,3.0,3.0,0.0278,5,0.7771,ALTO
622918,Alta,16,22.96,1.38,1.0,3.0,1.5,0.2083,11,0.7685,ALTO
168354,Media,20,19.92,1.0,1.0,1.0,4.0,0.0556,2,0.7389,ALTO
791313,Alta,184,210.52,2.0,1.0,11.0,1.0,0.4583,62,0.7387,ALTO
791222,Media,17,20.33,1.11,1.0,2.0,1.0,0.1806,7,0.7315,ALTO
